,Pm2.5
1,0.12977867
2,0.14889336
3,0.15995975
4,0.18209255
5,0.13883299
6,0.10965794
7,0.1056338
8,0.12474848
9,0.12072434
10,0.13279678
11,0.14084506
12,0.1529175
13,0.14889336
14,0.16498993
15,0.15895371
16,0.15492958
17,0.15995975
18,0.16498993
19,0.17102616
20,0.1498994
21,0.15492958
22,0.16498993
23,0.15694164
24,0.12676056
25,0.090543255
26,0.06338028
27,0.06539235
28,0.05533199
29,0.06539235
30,0.083501
31,0.09154929
32,0.086519115
33,0.08249497
34,0.086519115
35,0.07847082
36,0.098591544
37,0.10764587
38,0.090543255
39,0.09657948
40,0.09557344
41,0.086519115
42,0.07042253
43,0.06136821
44,0.053319916
45,0.07142857
46,0.072434604
47,0.07645875
48,0.07344064
49,0.079476856
50,0.058350097
51,0.025150904
52,0.026156941
53,0.028169014
54,0.026156941
55,0.020120723
56,0.029175049
57,0.026156941
58,0.027162977
59,0.027162977
60,0.025150904
61,0.029175049
62,0.032193158
63,0.028169014
64,0.029175049
65,0.030181086
66,0.030181086
67,0.028169014
68,0.026156941
69,0.03118712
70,0.033199195
71,0.029175049
72,0.03118712
73,0.030181086
74,0.03420523
75,0.027162977
76,0.025150904
77,0.028169014
78,0.028169014
79,0.027162977
80,0.027162977
81,0.027162977
82,0.029175049
83,0.036217302
84,0.030181086
85,0.027162977
86,0.03923541
87,0.041247483
88,0.033199195
89,0.05030181
90,0.056338027
91,0.059356134
92,0.06036217
93,0.08450704
94,0.10663983
95,0.06639839
96,0.05030181
97,0.056338027
98,0.07746479
99,0.05030181
100,0.04426559
101,0.027162977
102,0.028169014
103,0.02112676
104,0.025150904
105,0.020120723
106,0.029175049
107,0.03420523
108,0.04225352
109,0.028169014
110,0.036217302
111,0.04828974
112,0.049295772
113,0.052313883
114,0.056338027
115,0.09657948
116,0.075452715
117,0.1056338
118,0.13279678
119,0.093561366
120,0.13179074
121,0.1277666
122,0.1307847
123,0.043259557
124,0.03722334
125,0.030181086
126,0.028169014
127,0.02414487
128,0.023138832
129,0.02414487
130,0.027162977
131,0.040241446
132,0.04225352
133,0.04225352
134,0.05533199
135,0.052313883
136,0.051307846
137,0.057344064
138,0.05030181
139,0.054325953
140,0.06740443
141,0.10663983
142,0.15995975
143,0.19919516
144,0.19114688
145,0.2112676
146,0.19617705
147,0.27665994
148,0.16498993
149,0.11066398
150,0.10060362
151,0.08148893
152,0.07142857
153,0.06639839
154,0.09255533
155,0.13581489
156,0.15593562
157,0.19919516
158,0.25150904
159,0.20120724
160,0.23239435
161,0.25150904
162,0.21327966
163,0.22032192
164,0.22837022
165,0.22736418
166,0.22635815
167,0.16901408
168,0.17002012
169,0.16599597
170,0.15995975
171,0.16800804
172,0.19718309
173,0.17002012
174,0.15593562
175,0.119718306
176,0.10663983
177,0.093561366
178,0.08450704
179,0.07344064
180,0.06639839
181,0.040241446
182,0.049295772
183,0.05030181
184,0.049295772
185,0.041247483
186,0.03722334
187,0.045271628
188,0.04426559
189,0.054325953
190,0.05030181
191,0.0472837
192,0.06639839
193,0.075452715
194,0.08249497
195,0.06639839
196,0.083501
197,0.06237424
198,0.040241446
199,0.023138832
200,0.025150904
201,0.027162977
202,0.035211265
203,0.05030181
204,0.07042253
205,0.075452715
206,0.058350097
207,0.07042253
208,0.06841046
209,0.07142857
210,0.08853118
211,0.08450704
212,0.083501
213,0.06639839
214,0.027162977
215,0.02414487
216,0.022132795
217,0.023138832
218,0.027162977
219,0.023138832
220,0.017102616
221,0.017102616
222,0.016096579
223,0.016096579
224,0.020120723
225,0.020120723
226,0.018108651
227,0.025150904
228,0.026156941
229,0.027162977
230,0.028169014
231,0.015090543
232,0.02414487
233,0.013078471
234,0.013078471
235,0.013078471
236,0.017102616
237,0.020120723
238,0.027162977
239,0.020120723
240,0.015090543
241,0.02112676
242,0.02112676
243,0.03722334
244,0.026156941
245,0.015090543
246,0.0090543255
247,0.011066398
248,0.011066398
249,0.016096579
250,0.013078471
251,0.015090543
252,0.02112676
253,0.02414487
254,0.022132795
255,0.022132795
256,0.022132795
257,0.019114688
258,0.023138832
259,0.025150904
260,0.025150904
261,0.03118712
262,0.025150904
263,0.022132795
264,0.022132795
265,0.015090543
266,0.016096579
267,0.011066398
268,0.011066398
269,0.012072435
270,0.011066398
271,0.012072435
272,0.027162977
273,0.028169014
274,0.03420523
275,0.033199195
276,0.036217302
277,0.026156941
278,0.049295772
279,0.052313883
280,0.0472837
281,0.0472837
282,0.03923541
283,0.059356134
284,0.07645875
285,0.09657948
286,0.09557344
287,0.06841046
288,0.06539235
289,0.075452715
290,0.2585513
291,0.17505029
292,0.16498993
293,0.16197182
294,0.13782696
295,0.09255533
296,0.064386316
297,0.087525144
298,0.087525144
299,0.08450704
300,0.09557344
301,0.079476856
302,0.075452715
303,0.079476856
304,0.086519115
305,0.072434604
306,0.08953722
307,0.0945674
308,0.06941649
309,0.049295772
310,0.033199195
311,0.027162977
312,0.020120723
313,0.036217302
314,0.03722334
315,0.030181086
316,0.018108651
317,0.02112676
318,0.013078471
319,0.023138832
320,0.026156941
321,0.027162977
322,0.030181086
323,0.028169014
324,0.026156941
325,0.026156941
326,0.03118712
327,0.035211265
328,0.036217302
329,0.03722334
330,0.064386316
331,0.083501
332,0.09154929
333,0.090543255
334,0.10261569
335,0.0945674
336,0.087525144
337,0.1418511
338,0.21227363
339,0.24346076
340,0.27263582
341,0.250503
342,0.20120724
343,0.14788732
344,0.11468813
345,0.10261569
346,0.108651906
347,0.13581489
348,0.12072434
349,0.14889336
350,0.1277666
351,0.12877263
352,0.14084506
353,0.14889336
354,0.15090543
355,0.15492958
356,0.19818912
357,0.2364185
358,0.26257545
359,0.27062374
360,0.26760563
361,0.26458752
362,0.24245472
363,0.20623742
364,0.16096579
365,0.15090543
366,0.14889336
367,0.20925553
368,0.21026157
369,0.18410462
370,0.16197182
371,0.18309858
372,0.23138832
373,0.17102616
374,0.17303823
375,0.15492958
376,0.167002
377,0.1780684
378,0.19215292
379,0.21327966
380,0.25150904
381,0.2696177
382,0.31891346
383,0.29275653
384,0.3148893
385,0.2837022
386,0.2837022
387,0.30482897
388,0.3511066
389,0.40945673
390,0.36317906
391,0.23541246
392,0.1498994
393,0.14788732
394,0.18511066
395,0.16197182
396,0.13782696
397,0.14688128
398,0.14486921
399,0.15492958
400,0.17404427
401,0.1891348
402,0.20422535
403,0.23440643
404,0.41046277
405,0.43762574
406,0.40543258
407,0.36217302
408,0.40442654
409,0.36016095
410,0.38531187
411,0.334004
412,0.27565393
413,0.25754526
414,0.30382293
415,0.33199194
