,Pm2.5
1,129.77867
2,148.89336
3,159.95975
4,182.09255
5,138.83299
6,109.65794
7,105.6338
8,124.74848
9,120.72434
10,132.79678
11,140.84506
12,152.9175
13,148.89336
14,164.98993000000002
15,158.95371
16,154.92958000000002
17,159.95975
18,164.98993000000002
19,171.02616
20,149.89939999999999
21,154.92958000000002
22,164.98993000000002
23,156.94164
24,126.76056
25,90.543255
26,63.38028
27,65.39235000000001
28,55.33199
29,65.39235000000001
30,83.501
31,91.54929
32,86.519115
33,82.49497
34,86.519115
35,78.47082
36,98.591544
37,107.64587
38,90.543255
39,96.57947999999999
40,95.57343999999999
41,86.519115
42,70.42253
43,61.36821
44,53.31991599999999
45,71.42857
46,72.434604
47,76.45875000000001
48,73.44064
49,79.476856
50,58.350097000000005
51,25.150903999999997
52,26.156941
53,28.169014
54,26.156941
55,20.120723
56,29.175048999999998
57,26.156941
58,27.162977
59,27.162977
60,25.150903999999997
61,29.175048999999998
62,32.193158
63,28.169014
64,29.175048999999998
65,30.181086
66,30.181086
67,28.169014
68,26.156941
69,31.18712
70,33.199195
71,29.175048999999998
72,31.18712
73,30.181086
74,34.20523
75,27.162977
76,25.150903999999997
77,28.169014
78,28.169014
79,27.162977
80,27.162977
81,27.162977
82,29.175048999999998
83,36.217302
84,30.181086
85,27.162977
86,39.23541
87,41.247483
88,33.199195
89,50.30181
90,56.338027
91,59.356134000000004
92,60.36217
93,84.50704
94,106.63983
95,66.39839
96,50.30181
97,56.338027
98,77.46479000000001
99,50.30181
100,44.26559
101,27.162977
102,28.169014
103,21.12676
104,25.150903999999997
105,20.120723
106,29.175048999999998
107,34.20523
108,42.25352
109,28.169014
110,36.217302
111,48.289739999999995
112,49.295772
113,52.313883
114,56.338027
115,96.57947999999999
116,75.452715
117,105.6338
118,132.79678
119,93.56136599999999
120,131.79074
121,127.76660000000001
122,130.78470000000002
123,43.259557
124,37.22334
125,30.181086
126,28.169014
127,24.144869999999997
128,23.138832
129,24.144869999999997
130,27.162977
131,40.241446
132,42.25352
133,42.25352
134,55.33199
135,52.313883
136,51.307846
137,57.34406400000001
138,50.30181
139,54.325953
140,67.40443
141,106.63983
142,159.95975
143,199.19516000000002
144,191.14687999999998
145,211.2676
146,196.17704999999998
147,276.65994
148,164.98993000000002
149,110.66398
150,100.60362
151,81.48893
152,71.42857
153,66.39839
154,92.55533000000001
155,135.81489
156,155.93562
157,199.19516000000002
158,251.50904000000003
159,201.20724
160,232.39435
161,251.50904000000003
162,213.27966
163,220.32192
164,228.37022000000002
165,227.36418
166,226.35815
167,169.01408
168,170.02012
169,165.99597
170,159.95975
171,168.00804
172,197.18309
173,170.02012
174,155.93562
175,119.718306
176,106.63983
177,93.56136599999999
178,84.50704
179,73.44064
180,66.39839
181,40.241446
182,49.295772
183,50.30181
184,49.295772
185,41.247483
186,37.22334
187,45.271628
188,44.26559
189,54.325953
190,50.30181
191,47.283699999999996
192,66.39839
193,75.452715
194,82.49497
195,66.39839
196,83.501
197,62.37424
198,40.241446
199,23.138832
200,25.150903999999997
201,27.162977
202,35.211265
203,50.30181
204,70.42253
205,75.452715
206,58.350097000000005
207,70.42253
208,68.41046
209,71.42857
210,88.53118
211,84.50704
212,83.501
213,66.39839
214,27.162977
215,24.144869999999997
216,22.132795
217,23.138832
218,27.162977
219,23.138832
220,17.102616
221,17.102616
222,16.096579
223,16.096579
224,20.120723
225,20.120723
226,18.108651
227,25.150903999999997
228,26.156941
229,27.162977
230,28.169014
231,15.090543
232,24.144869999999997
233,13.078471
234,13.078471
235,13.078471
236,17.102616
237,20.120723
238,27.162977
239,20.120723
240,15.090543
241,21.12676
242,21.12676
243,37.22334
244,26.156941
245,15.090543
246,9.0543255
247,11.066398
248,11.066398
249,16.096579
250,13.078471
251,15.090543
252,21.12676
253,24.144869999999997
254,22.132795
255,22.132795
256,22.132795
257,19.114688
258,23.138832
259,25.150903999999997
260,25.150903999999997
261,31.18712
262,25.150903999999997
263,22.132795
264,22.132795
265,15.090543
266,16.096579
267,11.066398
268,11.066398
269,12.072434999999999
270,11.066398
271,12.072434999999999
272,27.162977
273,28.169014
274,34.20523
275,33.199195
276,36.217302
277,26.156941
278,49.295772
279,52.313883
280,47.283699999999996
281,47.283699999999996
282,39.23541
283,59.356134000000004
284,76.45875000000001
285,96.57947999999999
286,95.57343999999999
287,68.41046
288,65.39235000000001
289,75.452715
290,258.55129999999997
291,175.05029
292,164.98993000000002
293,161.97181999999998
294,137.82695999999999
295,92.55533000000001
296,64.386316
297,87.525144
298,87.525144
299,84.50704
300,95.57343999999999
301,79.476856
302,75.452715
303,79.476856
304,86.519115
305,72.434604
306,89.53722
307,94.56739999999999
308,69.41649
309,49.295772
310,33.199195
311,27.162977
312,20.120723
313,36.217302
314,37.22334
315,30.181086
316,18.108651
317,21.12676
318,13.078471
319,23.138832
320,26.156941
321,27.162977
322,30.181086
323,28.169014
324,26.156941
325,26.156941
326,31.18712
327,35.211265
328,36.217302
329,37.22334
330,64.386316
331,83.501
332,91.54929
333,90.543255
334,102.61569
335,94.56739999999999
336,87.525144
337,141.8511
338,212.27363
339,243.46076
340,272.63581999999997
341,250.50300000000004
342,201.20724
343,147.88732
344,114.68813
345,102.61569
346,108.651906
347,135.81489
348,120.72434
349,148.89336
350,127.76660000000001
